comune,year,month,t_mean
Atina,2022,3,6.45
Atina,2022,4,10.82
Atina,2022,5,17.24
Atina,2022,6,23.02
Atina,2022,7,25.07
Atina,2022,8,23.64
Atina,2022,9,18.45
Atina,2022,10,15.62
Atina,2022,11,10.24
Atina,2022,12,8.38
Atina,2023,1,5.25
Atina,2023,2,5.47
Atina,2023,3,9.09
Atina,2023,4,10.33
Atina,2023,5,15.13
Atina,2023,6,19.93
Atina,2023,7,24.34
Atina,2023,8,22.38
Atina,2023,9,20.03
Atina,2023,10,17.2
Atina,2023,11,10.54
Atina,2023,12,7.49
Atina,2024,1,6.96
Atina,2024,2,8.73
Atina,2024,3,10.43
Atina,2024,4,12.74
Atina,2024,5,16.16
Atina,2024,6,21.5
Atina,2024,7,25.75
Atina,2024,8,25.95
Atina,2024,9,18.83
Atina,2024,10,15.89
Atina,2024,11,9.7
Atina,2024,12,5.91
Atina,2025,1,6.89
Atina,2025,2,7.37
Atina,2025,3,9.9
Atina,2025,4,12.57
Atina,2025,5,15.52
Atina,2025,6,23.6
Atina,2025,7,24.02
Atina,2025,8,23.06
Atina,2025,9,19.65
Atina,2025,10,13.85
Atina,2025,11,9.58
Atina,2025,12,6.68
Atina,2026,1,6.28
Atina,2026,2,8.59
Atina,2026,3,9.21
Atina,2026,4,13.81
Atina,2026,5,16.44
Atina,2026,6,21.71
Belmonte Castello,2011,1,4.9
Belmonte Castello,2011,2,4.9
Belmonte Castello,2011,3,7.45
Belmonte Castello,2011,4,11.82
Belmonte Castello,2011,5,15.75
Belmonte Castello,2011,6,20.13
Belmonte Castello,2011,7,21.53
Belmonte Castello,2011,8,23.48
Belmonte Castello,2011,9,20.97
Belmonte Castello,2011,10,14.11
Belmonte Castello,2011,11,9.55
Belmonte Castello,2011,12,6.67
Belmonte Castello,2012,1,4.09
Belmonte Castello,2012,2,2.13
Belmonte Castello,2012,3,10.39
Belmonte Castello,2012,4,11.98
Belmonte Castello,2012,5,15.21
Belmonte Castello,2012,6,21.82
Belmonte Castello,2012,7,24.19
Belmonte Castello,2012,8,24.99
Belmonte Castello,2012,9,19.29
Belmonte Castello,2012,10,15.22
Belmonte Castello,2012,11,11.59
Belmonte Castello,2012,12,4.75
Belmonte Castello,2013,1,5.17
Belmonte Castello,2013,2,4.36
Belmonte Castello,2013,3,8.73
Belmonte Castello,2013,4,13.31
Belmonte Castello,2013,5,15.27
Belmonte Castello,2013,6,19.02
Belmonte Castello,2013,7,22.3
Belmonte Castello,2013,8,23.27
Belmonte Castello,2013,9,18.98
Belmonte Castello,2013,10,15.89
Belmonte Castello,2013,11,10.04
